day,price,size,premium,premium*size,price*size,average,adjusted_size,weighted_price,weighted_average_premium,count,WAP_buy,WAP_sell,compound
2022-05-20,37.71846153846154,15.35,0.0068027827457439,0.0034379025023669,573.43925,37.46375,-11.35,37.35760586319218,0.0002239675897307,13,38.041875,37.25509363295881,0.3574294117647059
2022-05-21,38.13,5.7,-0.0019630938358853,-0.0046486062033764,216.8805,38.205,-1.4,38.04921052631578,-0.0008155449479607,5,38.24953488372093,37.92788732394367,0.3574294117647059
2022-05-22,38.17175,9.3,-0.0008703049339091,-0.0014559612616149,354.194,38.205,-2.4,38.08537634408602,-0.0001565549743671,20,38.23434782608695,37.99752136752137,0.3574294117647059
2022-05-23,37.88403846153846,754.3000000000001,0.009776947327341,0.049337659291758,28544.789000000004,37.51674326923077,-690.8,37.84275354633435,6.540853677814927e-05,52,38.06390551181102,37.83303577607085,0.09450612244897959
2022-05-24,36.2754347826087,768.6999999999999,-0.0005544596019072,0.0133655952822387,27496.0505,36.29625978260869,-759.8,35.76954663717965,1.738727108395826e-05,23,36.18898876404495,35.7671043506706,0.15636575342465753
2022-05-25,37.5010576923077,8696.75,0.001913437746069,0.3405756411564041,318484.11925000005,37.43489615384616,1719.75,36.62105030614885,3.916125462459012e-05,52,36.71709192147075,36.47766239071235,0.26959467455621305
2022-05-26,39.17480769230769,6577.95,0.0030366381938924,0.2555989036190872,258188.4805,39.05628365384616,-5419.15,39.25059942687312,3.885692405978873e-05,52,39.216050655850886,39.253936492985794,0.3246850746268657
2022-05-27,39.77045454545455,289.55,0.0033532804870121,0.0141328058125342,11570.897,39.63895113636364,-264.15000000000003,39.96165429114143,4.880955210683566e-05,22,39.52929133858267,39.98148817048944,0.24260742574257424
2022-05-28,40.2922,102.75,0.0081871637682971,0.0398528712623537,4146.22175,39.965,99.85,40.35252311435523,0.0003878624940375,25,40.355476307996064,40.146206896551725,0.24260742574257424
2022-05-29,40.27275,63.2,0.0077004879269359,0.003523708244714,2528.6045,39.965,-60.1,40.00956487341772,5.5754877289779886e-05,20,40.30677419354838,40.00209245742092,0.24260742574257424
2022-05-30,40.44611111111111,6.15,0.0120383113001653,0.003175347873834,248.069,39.965,0.2500000000000001,40.33642276422764,0.0005163167274526,18,40.51195312500001,40.14601694915255,0.24646268656716416
2022-05-31,39.97884615384616,220.05,0.003318278555571,0.0085151997337705,8802.4435,39.847175,-170.65,40.002015451033856,3.869665864017527e-05,26,40.06296558704452,39.99430893268494,0.5077139372822299
2022-06-01,39.58153846153846,5.3,0.004758332522317,0.0002281132924581,209.331,39.39442884615385,-5.2,39.496415094339625,4.30402438600195e-05,13,39.93,39.492285714285714,0.4221373913043478
2022-06-02,39.38111111111111,209.65,0.0072213484530388,0.0322652692531771,8201.28875,39.09891388888889,-205.15,39.11895420939661,0.0001539006403681,18,39.49666666666667,39.11485655737705,0.2428141414141414
2022-06-03,40.1037037037037,173.65,-0.0093948667893291,-0.0316430733648217,6979.06725,40.48419351851852,-58.45,40.19042470486611,-0.0001822232845656,27,40.366536458333336,40.10301378716071,0.124675
2022-06-04,40.115,9.2,-0.0079139359465809,-0.0109118887652336,368.031,40.435,-7.5,40.00336956521739,-0.0011860748657862,9,40.2585294117647,39.97739520958083,0.124675
2022-06-05,40.18625,0.4,-0.006151848645975,-0.0006105477927538,16.07525,40.435,0.3,40.188125,-0.0015263694818845,4,40.215,40.0,0.124675
2022-06-06,39.28803571428572,65.95,0.0103234293081755,0.0272516986423524,2555.21375,38.896422321428574,-63.15,38.74471190295678,0.0004132175684966,28,40.01428571428571,38.71717660728117,0.1719965517241379
2022-06-07,39.4545,38.35,-0.0095554708113291,-0.0316620335327426,1514.7405,39.83475,12.05,39.497796610169495,-0.0008256071325356,10,39.44833333333333,39.59258555133079,0.2324255319148936
2022-06-08,40.27388888888889,28.3,-0.0006897865003233,-0.0273200920646384,1126.0907499999998,40.30244722222222,27.9,39.79119257950529,-0.0009653742779024,9,39.78661032028469,40.435,0.30915370370370365
2022-06-09,40.265,157.45,0.0071843312653836,0.0250400473797455,6329.186000000001,39.97952692307692,-152.95,40.19806922832646,0.0001590349150825,13,40.05944444444444,40.20007893041238,0.12365294117647059
2022-06-10,39.34,7.5,0.0118385714391341,0.0123526597086244,295.36075,38.88530555555556,3.6,39.38143333333333,0.0016470212944832,9,39.46761261261262,39.13615384615385,0.20785138888888888
2022-06-11,39.120000000000005,9.1,0.0457670094191208,0.0643854002513727,354.8635,37.40795,-7.8,38.99598901098901,0.007075318708942,6,39.26884615384616,38.975,0.20785138888888888
2022-06-12,39.07333333333333,12.8,0.0445195027616679,0.1800485369197373,499.0275,37.40795,-11.8,38.9865234375,0.0140662919468544,3,39.27,38.975,0.20785138888888888
2022-06-13,37.78339285714286,2377.35,0.0118304037755967,1.6935602433492611,90552.59975,37.34090267857143,-2286.05,38.08972164384715,0.0007123731227413,28,37.89534501642936,38.09352714757472,0.0399031007751938
2022-06-14,37.729642857142856,269.55,-0.0031019400653817,-0.0939938640492668,10160.49,37.84771428571429,258.75,37.69426822481914,-0.0003487066000714,14,37.693838727995455,37.71527777777778,0.22737402597402598
2022-06-15,37.86863636363636,402.45,-0.0020554878828337,-0.0603399587440489,15116.11375,37.94767954545454,43.74999999999999,37.56022797863088,-0.0001499315660182,11,37.58384356790676,37.53085168664622,0.25411704545454544
2022-06-16,38.26208333333333,1385.5,0.0165740805220837,0.3569516066597495,51807.48325,37.63680625,-1318.5,37.39262594731144,0.000257633783226,12,37.84538059701492,37.381407544378696,0.299461403508772
2022-06-17,37.586666666666666,136.2,0.0028615250330566,-0.0259027578247618,5090.592,37.47895833333333,-124.4,37.375859030837006,-0.0001901817755122,6,37.4906779661017,37.37066001534919,0.09655714285714286
2022-06-18,37.98625,17.400000000000002,-0.0134203915411731,-0.0731373030265843,658.6877499999999,38.502975,-14.4,37.85561781609194,-0.0042032932773899,4,38.10966666666666,37.83165094339623,0.09655714285714286
2022-06-19,38.05875,85.95,-0.0115374201603901,-0.3673235720746244,3252.7585,38.502975,-74.05,37.84477603257708,-0.0042736890293731,4,38.11067226890757,37.825,0.09655714285714286
2022-06-20,38.025,0.2,-0.0124139758031684,-0.0024827951606337,7.605,38.502975,-0.2,38.025,-0.0124139758031684,1,,38.025,0.1769256880733945
2022-06-21,38.49846153846154,3054.65,-0.002393358522332,-0.0848540670393517,117738.12525,38.591378846153845,658.65,38.54390036501727,-2.7778654523219275e-05,26,38.69432768696308,38.310769407345575,-0.10773012048192772
2022-06-22,38.80961538461538,1142.2,0.0019660713985266,0.0886451686417777,44511.852,38.733600961538464,-552.8,38.9702784100858,7.760914782155293e-05,26,38.80198761452324,39.02879793510324,0.16279354838709675
